starttime	seconds	ctime	dtime	ttime	wait
Sun Sep 03 19:52:58 2023	1693741978	0	63	63	60
Sun Sep 03 19:52:58 2023	1693741978	3	78	81	78
Sun Sep 03 19:52:58 2023	1693741978	3	81	84	80
Sun Sep 03 19:52:58 2023	1693741978	2	85	87	84
Sun Sep 03 19:52:58 2023	1693741978	3	85	87	84
Sun Sep 03 19:52:58 2023	1693741978	3	86	89	86
Sun Sep 03 19:52:58 2023	1693741978	2	87	90	87
Sun Sep 03 19:52:58 2023	1693741978	3	248	251	247
Sun Sep 03 19:52:58 2023	1693741978	3	249	252	249
Sun Sep 03 19:52:58 2023	1693741978	3	249	252	248
Sun Sep 03 19:52:58 2023	1693741978	3	263	266	262
Sun Sep 03 19:52:58 2023	1693741978	3	271	274	271
Sun Sep 03 19:52:58 2023	1693741978	3	271	274	270
Sun Sep 03 19:52:58 2023	1693741978	3	281	284	280
Sun Sep 03 19:52:58 2023	1693741978	3	281	285	281
Sun Sep 03 19:52:58 2023	1693741978	3	286	288	285
Sun Sep 03 19:52:58 2023	1693741978	3	288	291	287
Sun Sep 03 19:52:58 2023	1693741978	3	299	302	298
Sun Sep 03 19:52:58 2023	1693741978	3	311	315	311
Sun Sep 03 19:52:58 2023	1693741978	3	314	317	313
Sun Sep 03 19:52:58 2023	1693741978	3	314	317	314
Sun Sep 03 19:52:59 2023	1693741979	0	320	320	312
Sun Sep 03 19:52:58 2023	1693741978	3	318	321	318
Sun Sep 03 19:52:59 2023	1693741979	1	321	321	319
Sun Sep 03 19:52:58 2023	1693741978	3	320	323	319
Sun Sep 03 19:52:58 2023	1693741978	2	326	329	325
Sun Sep 03 19:52:58 2023	1693741978	3	328	331	328
Sun Sep 03 19:52:58 2023	1693741978	3	340	343	340
Sun Sep 03 19:52:58 2023	1693741978	3	341	344	341
Sun Sep 03 19:52:58 2023	1693741978	2	342	345	342
Sun Sep 03 19:52:59 2023	1693741979	0	350	351	350
Sun Sep 03 19:52:58 2023	1693741978	3	350	353	350
Sun Sep 03 19:52:58 2023	1693741978	3	351	354	346
Sun Sep 03 19:52:58 2023	1693741978	3	351	354	348
Sun Sep 03 19:52:59 2023	1693741979	0	358	358	355
Sun Sep 03 19:53:01 2023	1693741981	0	360	360	360
Sun Sep 03 19:52:59 2023	1693741979	0	361	361	361
Sun Sep 03 19:53:01 2023	1693741981	0	362	363	362
Sun Sep 03 19:52:58 2023	1693741978	3	360	363	360
Sun Sep 03 19:52:58 2023	1693741978	2	360	363	360
Sun Sep 03 19:52:58 2023	1693741978	2	367	370	367
Sun Sep 03 19:52:58 2023	1693741978	3	368	371	367
Sun Sep 03 19:52:58 2023	1693741978	3	378	381	377
Sun Sep 03 19:52:58 2023	1693741978	2	380	382	377
Sun Sep 03 19:52:59 2023	1693741979	0	383	384	383
Sun Sep 03 19:53:00 2023	1693741980	0	385	385	381
Sun Sep 03 19:53:06 2023	1693741986	0	385	385	384
Sun Sep 03 19:52:59 2023	1693741979	0	391	391	390
Sun Sep 03 19:52:58 2023	1693741978	3	392	396	388
Sun Sep 03 19:52:58 2023	1693741978	3	394	397	392
Sun Sep 03 19:52:58 2023	1693741978	2	396	398	384
Sun Sep 03 19:53:03 2023	1693741983	0	405	405	404
Sun Sep 03 19:52:58 2023	1693741978	3	403	406	385
Sun Sep 03 19:52:58 2023	1693741978	2	406	408	397
Sun Sep 03 19:52:58 2023	1693741978	2	407	409	396
Sun Sep 03 19:52:58 2023	1693741978	2	410	412	409
Sun Sep 03 19:53:08 2023	1693741988	0	415	415	414
Sun Sep 03 19:52:59 2023	1693741979	0	418	418	417
Sun Sep 03 19:53:01 2023	1693741981	0	418	418	418
Sun Sep 03 19:53:01 2023	1693741981	1	422	423	422
