starttime	seconds	ctime	dtime	ttime	wait
Sun Sep 03 19:50:21 2023	1693741821	0	52	52	48
Sun Sep 03 19:50:22 2023	1693741822	3	214	217	214
Sun Sep 03 19:50:22 2023	1693741822	3	216	219	216
Sun Sep 03 19:50:22 2023	1693741822	3	220	222	219
Sun Sep 03 19:50:22 2023	1693741822	3	221	224	220
Sun Sep 03 19:50:22 2023	1693741822	3	222	225	222
Sun Sep 03 19:50:22 2023	1693741822	3	238	241	237
Sun Sep 03 19:50:22 2023	1693741822	3	238	241	238
Sun Sep 03 19:50:22 2023	1693741822	3	242	245	241
Sun Sep 03 19:50:22 2023	1693741822	3	244	247	244
Sun Sep 03 19:50:22 2023	1693741822	2	245	247	244
Sun Sep 03 19:50:22 2023	1693741822	3	245	248	245
Sun Sep 03 19:50:22 2023	1693741822	3	251	254	250
Sun Sep 03 19:50:22 2023	1693741822	3	253	255	252
Sun Sep 03 19:50:22 2023	1693741822	3	253	256	253
Sun Sep 03 19:50:22 2023	1693741822	3	256	259	256
Sun Sep 03 19:50:22 2023	1693741822	3	259	262	259
Sun Sep 03 19:50:22 2023	1693741822	3	262	265	261
Sun Sep 03 19:50:22 2023	1693741822	3	273	276	273
Sun Sep 03 19:50:22 2023	1693741822	3	275	278	275
Sun Sep 03 19:50:22 2023	1693741822	3	279	282	279
Sun Sep 03 19:50:22 2023	1693741822	3	282	285	281
Sun Sep 03 19:50:22 2023	1693741822	2	286	289	286
Sun Sep 03 19:50:22 2023	1693741822	3	297	299	296
Sun Sep 03 19:50:22 2023	1693741822	2	310	312	309
Sun Sep 03 19:50:22 2023	1693741822	3	315	318	315
Sun Sep 03 19:50:22 2023	1693741822	3	330	333	330
Sun Sep 03 19:50:22 2023	1693741822	3	338	341	338
Sun Sep 03 19:50:22 2023	1693741822	3	346	348	345
Sun Sep 03 19:50:22 2023	1693741822	3	348	351	348
Sun Sep 03 19:50:22 2023	1693741822	3	351	354	351
Sun Sep 03 19:50:24 2023	1693741824	0	356	357	356
Sun Sep 03 19:50:31 2023	1693741831	0	361	361	360
Sun Sep 03 19:50:22 2023	1693741822	2	360	363	360
Sun Sep 03 19:50:22 2023	1693741822	2	361	363	360
Sun Sep 03 19:50:22 2023	1693741822	2	363	366	363
Sun Sep 03 19:50:22 2023	1693741822	2	367	369	367
Sun Sep 03 19:50:31 2023	1693741831	0	370	371	369
Sun Sep 03 19:50:31 2023	1693741831	0	370	371	370
Sun Sep 03 19:50:22 2023	1693741822	2	372	375	371
Sun Sep 03 19:50:22 2023	1693741822	2	373	375	371
Sun Sep 03 19:50:22 2023	1693741822	2	375	377	374
Sun Sep 03 19:50:22 2023	1693741822	2	377	379	376
Sun Sep 03 19:50:25 2023	1693741825	0	379	380	378
Sun Sep 03 19:50:31 2023	1693741831	0	381	381	380
Sun Sep 03 19:50:31 2023	1693741831	0	381	381	381
Sun Sep 03 19:50:22 2023	1693741822	3	380	383	380
Sun Sep 03 19:50:22 2023	1693741822	3	382	385	382
Sun Sep 03 19:50:31 2023	1693741831	0	385	386	385
Sun Sep 03 19:50:22 2023	1693741822	2	384	386	383
Sun Sep 03 19:50:31 2023	1693741831	0	392	392	391
Sun Sep 03 19:50:22 2023	1693741822	2	390	393	389
Sun Sep 03 19:50:22 2023	1693741822	3	392	395	392
Sun Sep 03 19:50:31 2023	1693741831	0	395	396	395
Sun Sep 03 19:50:22 2023	1693741822	2	394	396	393
Sun Sep 03 19:50:22 2023	1693741822	3	395	398	395
Sun Sep 03 19:50:22 2023	1693741822	3	396	399	395
Sun Sep 03 19:50:31 2023	1693741831	0	399	399	398
Sun Sep 03 19:50:31 2023	1693741831	1	398	400	396
Sun Sep 03 19:50:22 2023	1693741822	2	402	404	401
Sun Sep 03 19:50:31 2023	1693741831	0	408	408	408
Sun Sep 03 19:50:31 2023	1693741831	0	409	409	408
Sun Sep 03 19:50:22 2023	1693741822	2	409	411	408
Sun Sep 03 19:50:22 2023	1693741822	2	409	412	408
Sun Sep 03 19:50:31 2023	1693741831	0	415	415	414
Sun Sep 03 19:50:22 2023	1693741822	3	412	415	412
Sun Sep 03 19:50:31 2023	1693741831	0	418	418	418
Sun Sep 03 19:50:31 2023	1693741831	0	420	420	418
Sun Sep 03 19:50:27 2023	1693741827	0	420	420	420
Sun Sep 03 19:50:31 2023	1693741831	0	421	421	421
Sun Sep 03 19:50:31 2023	1693741831	0	422	422	421
Sun Sep 03 19:50:24 2023	1693741824	0	422	422	421
Sun Sep 03 19:50:31 2023	1693741831	0	422	423	422
Sun Sep 03 19:50:22 2023	1693741822	3	420	423	420
Sun Sep 03 19:50:31 2023	1693741831	0	424	425	423
Sun Sep 03 19:50:31 2023	1693741831	0	427	427	426
Sun Sep 03 19:50:22 2023	1693741822	3	425	428	424
Sun Sep 03 19:50:22 2023	1693741822	2	427	430	427
Sun Sep 03 19:50:31 2023	1693741831	1	430	431	430
Sun Sep 03 19:50:26 2023	1693741826	0	432	433	432
Sun Sep 03 19:50:26 2023	1693741826	0	433	433	433
Sun Sep 03 19:50:25 2023	1693741825	0	434	434	433
Sun Sep 03 19:50:31 2023	1693741831	0	436	436	435
Sun Sep 03 19:50:31 2023	1693741831	0	436	436	434
Sun Sep 03 19:50:24 2023	1693741824	0	438	438	436
Sun Sep 03 19:50:26 2023	1693741826	0	438	438	437
Sun Sep 03 19:50:31 2023	1693741831	0	438	438	438
Sun Sep 03 19:50:24 2023	1693741824	0	439	439	438
Sun Sep 03 19:50:22 2023	1693741822	2	437	439	437
Sun Sep 03 19:50:28 2023	1693741828	0	439	439	439
Sun Sep 03 19:50:28 2023	1693741828	0	440	440	439
Sun Sep 03 19:50:30 2023	1693741830	0	440	440	440
Sun Sep 03 19:50:27 2023	1693741827	0	440	440	440
Sun Sep 03 19:50:31 2023	1693741831	0	440	440	439
Sun Sep 03 19:50:31 2023	1693741831	0	441	441	440
Sun Sep 03 19:50:31 2023	1693741831	0	441	442	441
Sun Sep 03 19:50:31 2023	1693741831	0	442	442	440
Sun Sep 03 19:50:31 2023	1693741831	0	442	442	442
Sun Sep 03 19:50:22 2023	1693741822	3	440	443	440
Sun Sep 03 19:50:31 2023	1693741831	0	444	444	444
Sun Sep 03 19:50:31 2023	1693741831	1	444	446	443
Sun Sep 03 19:50:24 2023	1693741824	0	445	446	445
Sun Sep 03 19:50:24 2023	1693741824	0	446	446	445
Sun Sep 03 19:50:26 2023	1693741826	0	446	446	445
Sun Sep 03 19:50:26 2023	1693741826	2	445	447	444
Sun Sep 03 19:50:28 2023	1693741828	0	447	447	446
Sun Sep 03 19:50:24 2023	1693741824	0	447	447	446
Sun Sep 03 19:50:28 2023	1693741828	0	447	447	447
Sun Sep 03 19:50:23 2023	1693741823	0	447	448	447
Sun Sep 03 19:50:30 2023	1693741830	0	448	448	447
Sun Sep 03 19:50:25 2023	1693741825	0	448	449	448
Sun Sep 03 19:50:26 2023	1693741826	0	449	449	448
Sun Sep 03 19:50:31 2023	1693741831	0	449	449	448
Sun Sep 03 19:50:28 2023	1693741828	0	449	449	449
Sun Sep 03 19:50:29 2023	1693741829	0	449	450	449
Sun Sep 03 19:50:31 2023	1693741831	0	449	450	449
Sun Sep 03 19:50:30 2023	1693741830	0	450	450	449
Sun Sep 03 19:50:30 2023	1693741830	0	450	450	449
Sun Sep 03 19:50:26 2023	1693741826	0	450	450	449
Sun Sep 03 19:50:24 2023	1693741824	0	450	451	450
Sun Sep 03 19:50:31 2023	1693741831	0	451	451	450
Sun Sep 03 19:50:31 2023	1693741831	0	451	451	451
Sun Sep 03 19:50:28 2023	1693741828	0	451	451	451
Sun Sep 03 19:50:30 2023	1693741830	0	451	451	451
Sun Sep 03 19:50:25 2023	1693741825	0	452	452	451
Sun Sep 03 19:50:31 2023	1693741831	0	452	452	451
Sun Sep 03 19:50:30 2023	1693741830	0	452	452	452
Sun Sep 03 19:50:24 2023	1693741824	0	453	453	452
Sun Sep 03 19:50:30 2023	1693741830	0	454	454	453
Sun Sep 03 19:50:22 2023	1693741822	2	452	454	452
Sun Sep 03 19:50:31 2023	1693741831	1	454	454	453
Sun Sep 03 19:50:31 2023	1693741831	0	454	454	453
Sun Sep 03 19:50:23 2023	1693741823	1	454	455	453
Sun Sep 03 19:50:27 2023	1693741827	0	455	455	455
Sun Sep 03 19:50:27 2023	1693741827	0	455	455	455
Sun Sep 03 19:50:27 2023	1693741827	0	455	455	455
Sun Sep 03 19:50:31 2023	1693741831	0	455	456	455
Sun Sep 03 19:50:23 2023	1693741823	0	455	456	455
Sun Sep 03 19:50:29 2023	1693741829	0	455	456	455
Sun Sep 03 19:50:24 2023	1693741824	0	456	456	455
Sun Sep 03 19:50:24 2023	1693741824	1	456	456	455
Sun Sep 03 19:50:26 2023	1693741826	0	456	456	456
Sun Sep 03 19:50:24 2023	1693741824	0	456	456	456
Sun Sep 03 19:50:24 2023	1693741824	0	456	456	456
Sun Sep 03 19:50:26 2023	1693741826	0	457	457	456
Sun Sep 03 19:50:26 2023	1693741826	0	457	457	456
Sun Sep 03 19:50:26 2023	1693741826	0	457	457	457
Sun Sep 03 19:50:31 2023	1693741831	0	457	457	457
Sun Sep 03 19:50:31 2023	1693741831	0	457	457	457
Sun Sep 03 19:50:25 2023	1693741825	0	457	457	457
Sun Sep 03 19:50:30 2023	1693741830	0	457	458	457
Sun Sep 03 19:50:24 2023	1693741824	0	457	458	457
Sun Sep 03 19:50:31 2023	1693741831	1	456	458	455
Sun Sep 03 19:50:29 2023	1693741829	0	458	458	458
Sun Sep 03 19:50:24 2023	1693741824	0	458	458	458
Sun Sep 03 19:50:24 2023	1693741824	0	458	459	458
Sun Sep 03 19:50:31 2023	1693741831	0	459	459	458
Sun Sep 03 19:50:25 2023	1693741825	0	459	459	458
Sun Sep 03 19:50:24 2023	1693741824	0	459	459	458
Sun Sep 03 19:50:24 2023	1693741824	0	459	459	458
Sun Sep 03 19:50:28 2023	1693741828	0	459	459	459
Sun Sep 03 19:50:28 2023	1693741828	0	459	460	459
Sun Sep 03 19:50:30 2023	1693741830	0	460	460	459
Sun Sep 03 19:50:23 2023	1693741823	0	459	460	459
Sun Sep 03 19:50:24 2023	1693741824	0	460	460	459
Sun Sep 03 19:50:27 2023	1693741827	0	460	460	460
Sun Sep 03 19:50:24 2023	1693741824	0	460	460	459
Sun Sep 03 19:50:30 2023	1693741830	0	460	460	460
Sun Sep 03 19:50:24 2023	1693741824	0	460	460	460
Sun Sep 03 19:50:29 2023	1693741829	0	460	460	458
Sun Sep 03 19:50:31 2023	1693741831	0	460	461	460
Sun Sep 03 19:50:30 2023	1693741830	0	461	461	460
Sun Sep 03 19:50:30 2023	1693741830	0	461	461	461
Sun Sep 03 19:50:31 2023	1693741831	0	461	461	460
Sun Sep 03 19:50:24 2023	1693741824	0	461	461	461
Sun Sep 03 19:50:26 2023	1693741826	0	461	461	461
Sun Sep 03 19:50:26 2023	1693741826	0	461	461	461
